[ə'bændən] v./n.放弃；放纵
[ə'rein] v. 传讯; 指责
[ɑ:'tiləri] n. 大炮; 炮兵
['æsinain] a. 愚笨的
[ə'skæns] adv. 侧目而视，瞟
[əs'kju:] a. 歪斜的；v. 歪斜，弯曲
[æs'fiksiə] n. 窒息
[,æstiɡ'mætik] a. 散光的，乱视的
['eiθiizəm] n. 无神论，不信神
[ə'təun] v. 赎罪，补偿
[ə'taiə] v. 穿着；装饰；n. 好衣服
[ə'triʃən] n. 摩擦，磨损
['ɔɡə] n. 螺丝钻，钻孔机
[,ɔ:ɡmen'teiʃən] n. 增加
['ɔ:riəl] n. 日冕，光轮
[ɔ:'rikjulə] a. 耳的
['ɔ:spis] n. 预兆，吉兆；赞助，支持
[ɔ:tə'meiʃən] n. 自动装置
[ævə'keiʃ(ə)n] n. 副业；嗜好
[ə'vauəl] n. 声明
[ə'vʌŋkjulə] a. 伯(叔)父的
['æʒə] n. 天蓝色；a. 蔚蓝的
['bækənl] n. (行为放纵的)狂欢会
['bækslaid] v. 故态复萌
['bækwɔ:tə(r)] n. 死水；闭塞地区
['bæfl] v. 使困惑，难倒
['bɔ:ki] a. 停止不前的；倔强的
[bæm'bu:zl] v. 欺骗，隐瞒
['bændi] v. 来回抛球；轻率谈论
['bærən] n. 贵族; 巨头
['bæristə] n. 讼务；律师
[bə'su:n] n. 低音管，巴松管
['beiðə(r)] n. 入浴者，浴疗者
['bɔ:bl] n. 花哨的小玩意儿；没价值的东西
[bɔ:l] v. 大叫，大喊
[,bi:ə'tifik] a. 祝福的，快乐的
['bekən] v. 召唤某人，示意
[bi'daizn] v. 把„装饰得艳丽而俗气
[bi'dræɡ(ə)ld] a. 弄湿的；凌乱不堪的
[bi:t] n. 甜菜
[bi'fʌdl] v. 使迷惑，使为难；使酒醉昏迷
[bi'ɡet] v. 产生，引起
[bi'ɡail] v. 欺骗，诱骗
[bi'həuld] v. 目睹，看见
[bi'həuldən] a. 感激某人的；欠人情的
[beltʃ] n./v. 打嗝；(火山)喷出
[bi'lɔŋiŋz] n. 所有物，财产
[bi'mju:zd] a. 茫然的，困惑的
[bi'ri:v] v. 丧亲，夺去
[bə(:)'sə:k] a. 狂怒的，疯狂的
[bi'təukən] v. 预示，表示
['bibjuləs] a. 高度吸收的; 嗜酒的
[bai'eniəl] a. 两年一次的
['biljəs] a. 胆汁质的；坏脾气的
['biləu] n. 巨浪;v. 翻腾
['blækbɔ:l]
投反对票以阻止
['blækmeil] v./n. 敲诈，勒索
[bleə] v. 高声鸣叫
['blɑ:zei] a. 厌倦享乐的，冷漠的
['bli:tʃəz] n. (球场的)露天座位
['bləutid] a. 肿胀的; 傲慢的
['blɔsɔm] n. 花；v. (树木)开花
['blʌdʒən] n. 大头棒；v. 用棒打击
[blʌf] n. 虚张声势; 悬崖峭壁
[bəud] v. 预示
['bəudiŋ] n. 凶兆，前兆，预感；a. 凶兆的
[bəu'hi:mjən] a./n.. 放荡不羁的(人)
[bɔm'bɑ:dmənt] n. 炮炸，炮轰
[bɔnɔ'mi:] n. 好性情，温和，和蔼
[bu:] v. 作嘘声，蔑视或反对
[bɔtʃ] v. (笨手笨脚地)弄坏某事
['bɔtl,nek] n. 瓶颈口，(喻)交通易阻塞的狭口
[bau] n. 粗大的树枝或树干
['bauntiəs] a. 慷慨的; 丰富的
['bəuvain] a. (似)牛的; 迟钝的
['baudləraiz] v. 删除，删改
['bauə(r)] n. 凉亭，树荫下凉快之处
['brækiʃ] a. (指水)略咸的；不好吃的
['brætiʃ] a. (指小孩)讨厌的，宠坏的，不礼貌的
['brɔ:ni] a. (人)强壮的
[brei] v. 大声而刺耳地发出（叫唤或声音）
['bri:zwei] n. 有屋顶的通路
[brim] n. (杯)边，缘；盈满
['brind(ə)ld] a. 有棕色斑纹的
[brə'keid] n. 织锦
[brɔil] v. 烧烤
[bru:tʃ] n. 胸针
[brauz] v. 吃嫩叶或草；浏览；n. 嫩叶；嫩芽
['bʌbl] v. 起泡；n. 气泡，水泡
['bʌkl] n. 皮带扣环；v. 扣紧
['bʌfə] v. 缓冲，为„冲当缓冲器
['bʌɡəbu:] n. 吓人的东西；妖怪
['bʌɡi] n. 轻型马车；婴儿车
['buliən] n. 金条，银条
['bʌmbl] v. 说话含糊；拙劣地做
[bʌmp] v. 碰撞；n. 碰撞声
['bʌrəu] v. 挖掘，钻进，翻寻n. 地洞
['bʌksəm] a. 体态丰满的
['kæʃei] n. 赞同的标志，优越的标志
['kæktəs] n. 仙人掌
[kə'deivə] n. 尸体
['keidəns] n. 抑扬顿挫；节奏，韵律
['kæləbə] n. (枪等)口径；(人或事)品德，才能
['kæləs] n. 老茧，胼胝
[kæ'nɑ:d] n. 谣言，假新闻
['kæŋkə] n. 溃疡病；祸害
[kæn'tɑ:tə] n. 清唱剧，大合唱
[kə'peiʃəs] a. 容量大的，宽敞的
['keipə] v./n. 雀跃，欢蹦
[kə'pitəlaiz] v. 资本化，获利，利用
[,kæpi'teiʃən] n. 人头税
[kæp'saiz] v. 使船翻；倾覆
['kærət] n. 克拉；(金子)开
[kə'ri:n] v. (船)倾斜；使倾斜
[kə'riljən] n. 编钟，钟琴
['kɑ:nidʒ] n. 大屠杀，残杀
['kɑ:pintri] n. 木工工作
[kæs'keid] n. 小瀑布
['kætəpʌlt] n. 弹弓；弹射器
['kɔ:ʃənəri] a. 劝人谨慎的，警戒的
[,kævəl'keid] n. 骑兵队伍
[si'leriti] n. 快速，迅速
['selibit] n. 独身者；a. 不结婚的
['semitri] n. 坟墓，公墓
[sen'trifjuɡəl] a. 离心的
[sen'tripitl] a. 向心的
[se'fælik] a. 头的，头部的
['tʃeisn] v. 改正；磨炼
['tʃekəd] a. 盛衰无常的
[ʃi(:)k] a. 漂亮的，时髦的
[tʃə:p] v. (鸟或虫)唧唧叫
[tʃɔ:] n. 家务琐事；讨厌的工作
['tʃɔ:tl] v./n. 开心地笑
[tʃʌŋk] n. 短厚块状物；大量
['siliit] a. 有纤毛的；有睫毛的
['sini:æst] n. 影迷，热衷于电影的人
[,sɜ:kəmləu'kju:ʃən] a. 委婉曲折的，迂回的
[sai'teiʃən] n. 引证，引用文，传票
[kleə'vɔiənt] a. 透视的，有洞察力的
[klentʃ] v. 握紧；咬紧(牙关等)
[kli:'ʃei] a. 陈腐的
['kləuzd'maindid] a. 倔强的，顽固的
['kləuʒə] n. 关闭；终止
[klɔi] v. (吃甜食)生腻，吃腻
['kɔfə] n. 保险柜
['kɔɡneit] a. 同词源的；同类的
[kɔɡ'nəumen] n. (古罗马人的)姓
['kɔləkwi] n. (非正式的)交谈，会谈
[kəult] n. 小雄驹
[kə'mestibl] n. 食物，食品；a. 可吃的
[kə'mizəreit] v. 同情，怜悯
[kəm'plekʃən] n. 肤色；外表特征
[kəm'plisiti] n. 合谋，串通
[kəm'pɔ:t] v. 举止(以一种特殊方式表现)
[kəm'pʌlsəri] a. 强制性的，命令性的
[kɔn'sentrik] a. (指数个圆)有同一中心的
[kən'kɔkt] v. 调制；捏造
[kən'dain] a. 罪有应得的；适宜的
['kɔndimənt] n. 调味品，佐料
[kən'dəul] v. 向„吊慰
['kɔndɔ:] n. 秃鹰；神鹰
[,kɔnfi'dænt] n. 心腹朋友，知己
[kɔn'dʒenitl] a. 先天的，天生的
['kɔndʒuɡəl] a. 婚姻的，夫妻之间的
[kə'nju:bjəl] a. 婚姻的，夫妻的
['kɔnsikreit] v. 把„奉献
['kɔnsənəns] n. 一致，调和；和音
['kɔnsɔ:t] v. 结交，配对；n. 配偶
[kən'spektəs] n. 概要，大纲
[kən'strindʒ] v. 使收缩，使收敛，压缩
['kɔntjuməsi] n. 抗命，不服从
['kɔntjumli] n. 无礼，傲慢
[kən'vi:n] v. 集合；召集
['kɔnvɔi] v. 护航，护送
['kɔ:diəl] a. 热诚的；n. 兴奋剂
['kɔ:nit] n. 短号；圆锥形蛋卷
['kɔ:ni] a. 平淡无奇的；乡巴佬的
['kɔ:pərəl] a. 肉体的，身体的
['kɔ:pjulənt] a. 肥胖的
['kɔ:pəs] n. 全集，全部资料
['kɔrəskeit] v. 闪亮
['kəuzi] a. 温暖而舒适的
['kauntəpɔiz] n./v. 平均，平衡
['kʌvən] n. (尤指十三个)女巫的集会
['krɑ:fti] a. 狡诈的；熟练的
[kræɡ] n. 悬崖，峭壁
['kri:dəu] n. 信条
[kri'pʌskjulə] a. 朦胧的，微明的
['krevis] n. 缺口，裂缝
['kriŋkl] v. (使)变皱；n. 皱纹
['kripl] n. 跛子；v. (使)残废
['kru:n] v. 低声歌唱
['krɔtʃiti] a. 脾气坏的
[kript] n. 地下室，地窖
['kʌdl] n./v. 搂抱，拥抱
['kʌf] n. 袖口；v. 上手铐
['kʌlprit] n. 犯罪者
['kʌmbə] v. 拖累，妨碍
[kə:d] n. 凝乳
['kə:fju:] n. 宵禁
['kə:riʃ] a. 下贱的；杂种的
['kə:siv] a. 草书的
[kə:'veiʃəs] a. 婀娜多姿的；曲线的
['siɡnit] n. 小天鹅
['sinəzjuə] n. 注意的焦点
['dæblə] n. 涉猎者，浅尝辙止者
['dæliəns] n. 虚度光阴；调情
[dæm] v. 严厉地批评，谴责；a. 该死的
['dæmpə] n. 起抑制作用的因素
['dæŋɡl] v. 悬荡；吊胃口
[dæŋk] a. 阴湿的，阴冷的
['dæstəd] n. 懦夫，胆小的人
[dɔ:b] v. 涂抹；乱画
['dɔ:bstə] n. 拙劣的画家
[deiz] v. 使茫然，使眩晕
[di:'bɑ:] v. 阻止
[di'biliti] n. 衰弱，虚弱
[,debə'neə] a. 迷人的；友好的
[di'kæmp] v. (士兵)离营；匆忙秘密地离开
[di'kænt] v. 轻轻倒出
[di:'sentrəlaiz] v. 分散，权力下放
[di'klæsifai] v. 撤消保密
[,dekli'neiʃən] n. 倾斜；衰微
[di'kɔi] v. 诱骗
[di'kri:] n. 命令，法令v. 颁布命令
['di:fælkeit] v. 盗用公款
[di'feim] v. 诽谤，中伤
[di:'fəuliənt] n. 脱叶剂，落叶剂
[di:'fəulieit] v. (使)落叶
[di'fɔrist] v. 采伐森林，清除树林
[di'frei] v. 付款
[di'fʌŋkt] a. 死亡的
[,di:lek'teiʃən] n. 享受，愉快
[di'mɑ:keit] v. 划分，划界
[di'mi:nə] n. 举止，行为
[di'mentid] a. 疯狂的
[di'mjuə] a. 严肃的，矜持的
[di'nɔmineit] v. 命名，取名
[di'nʌnsieit] v. 公开指责，公然抨击，谴责
[di'pɔ:tmənt] n. (尤指少女的)风度，举止
[di'pɔzit] v. 存放；使淤积
[depri'deiʃ(ə)n] n. 劫掠，蹂躏
[di'presist] a. 有镇静作用的；n. 镇静剂
[di'pju:t] v. 派„为代表或代理
['depjə,taiz] v. 代替某人行事或说话
[di'reindʒmənt] n. 精神错乱
[di:'sælinaiz] v. 除去盐分
[di,zidə'reitəm] n. 必需品
['deziɡneit] v. 指明，指出；任命，指派
[di'zaiərəs] a. 渴望的
['desəlit] a. 荒凉的，被遗弃的
[,despə'rɑ:dəu] n. 亡命之徒
[dis'pɔil] v. 夺取，抢夺
['destitju:t] a. 贫乏的；穷困的
[dis'trʌktəbl] a. 可破坏的
[di'sju:itju:d] n. 废止，不用
[di'testəb(ə)l] a. 嫌恶的，可憎的，可厌恶的
['detəuneit] v. (使)爆炸，引爆
[di'trækt] v. 减去，贬低；转移
[di'vɔlv] v. (指工作、职务)移交给某人
[daiə'bɔlik] a. 恶魔(一样)的；魔鬼性格的
[dik'teitə] n. 独裁者
['diktəm] n. 格言，声明
[,daiə'tetiks] n. 饮食学，营养学
['diɡni,teri:] n. 显要人物
[dilæpi'deiʃ(ə)n] n. 破旧，荒废
[di,minju'endəu] n. (音乐、演奏)渐弱
[dai'ɔsisən] a. 主教管区的
[,dipsəu'meiniə] n. 嗜酒症
[,disə'vau] v. 否认，否定，抵赖
[dis'bænd] v. 解散(团体)
[dis'kleimə(r)] n. 否认，拒绝
['disim'bɔdi] v. 使脱离实体，使脱离现实
[dis'fræntʃaiz] v. 剥夺„的权利(尤指选举权或公民权)
[dis'hɑ:tən] v. 使„灰心
[di'ʃevəl] v. 使蓬乱，使头发凌乱
[di'ʃevəld] a. (指毛发或衣服)凌乱的
[dis'intiɡreit] v. (使)分裂成小片，(使)瓦解
[dis'pɔ:t] v. 玩耍，嬉戏
[,diskwi'ziʃən] n. 长篇演讲，专题论文
[di'sekʃən] n. 解剖，剖析
[di'səuʃieit] v. 分离，游离，分裂
[dis'tein] v. 贬损，伤害名誉
['distəl] a. 远离中心的，(神经)末梢的
[dis'tenʃən] n. 膨胀
[dis'trei] a. 心不在焉的
[ditʃ] n. 沟，沟渠，壕沟
['daivəɡeit] v. 离题；飘泊
[dɔk] v. 剪短；扣除„的一部分工资
['dɔɡəu] adv. (一动不动地)隐藏着
['dəutidʒ] n. 老年糊涂；溺爱
['dʌbl'krɔs] v. 欺骗，出卖
['daudi] a. 不整洁的，过旧的
['dauəri] n. 嫁妆，妆奁
[dəuz] v. 瞌睡，假寐
['dribl] v. (液体)往下滴、淌
['drəuləri] n. 笑谈，滑稽
['dʌktail] a. 易拉长的，易变形的；可塑的
['dʌlsit] a. 美妙的
['dʌləd] n. 愚人，笨蛋
[dʌm'faund] v. 使„惊讶发愣
[dʌns] n. 笨人
['i:ɡlit] n. 小鹰
['ə:θʃeikiŋ] a. 极其重大或重要的
['ekdisis] n. (动物)蜕皮；换羽毛
['eiklɑ:] n. 辉煌成就
['eklɔɡ] n. 田园诗，牧歌
[,i:kju(:)'menikəl] a. 世界范围的
['i:dikt] n. 法令；命令
['iəri] a. 可怕的，阴森恐怖的
[i'feminit] a. 缺乏勇气的，柔弱的
['efidʒi] n. 模拟像
['i:ɡəuiz(ə)m] n. 利己主义
[i'dʒækjuleit] v. 突然叫出或说出；射出
[i'lektərət] n. 选民，选区；有选举权者
[i'liksə] n. 万灵药，长生不老药
[i'mæskjuleit] v. 削弱；阉割；a. 柔弱的
[im'bæŋkmənt] n. 堤岸，路基
[im'bitə] v. 使痛苦，使难受
[im'bleizən] v. 以纹章或其他方式装饰
[im'bɔdimənt] n. 化身，体现
[im'brɔil] v. 牵连，卷入纠纷
[,embri'ɔnik] a. 胚胎的；萌芽期的
['emərəld] n. 翡翠；a. 翠绿色的
[i'mɔljumənt] n. 报酬，薪水
[,empai'ri(:)ən] n. 天空，天神居处
[in'saifə] v. 译成密码
[en,saikləu'pi:dik] a. 广博的，知识渊博的
[in'dju:] v. 赋予(才能)
[in'ɡrəusmənt] n. 正式誊写的文件；专注
[i'nəubl] v. 授予爵位，使高贵
[in'ʃrain] v. 奉为神圣
[in'sleiv] v. 奴役
[in'sneə] v. 诱入陷阱，进入罗网
[in'θrɔ:l] v. 迷惑，迷住
[,ɔntu'rɑ:ʒ] n. 随从；环境
[in'trentʃ] v. 挖壕沟；确立
[in'twain] v. 使缠绕，交织
['envirənz] n. 郊外，郊区
[in'vizidʒ] v. 正视；想像
[,epikjuə'ri(:)ən] a. 好享乐的；享乐主义的
['episəud] n. 一段情节
[i'kwestriən] n. 骑师；a. 骑马的
[is'kɔ:t] v. 护送；n. 护送者
[is'treindʒ] v. 使疏远
['estjuəri] n. 河口，三角湾
[ju:'dʒenik] a. 优生(学)的
['i:vən'tempəd] a. 性情平和的；不易生气的
[,evə'lɑ:stiŋ] a. 永恒的，持久的，无止境的，耐用的
[i'visəreit] v. 取出肠及内脏
[ik'sepʃənəbl] a. 引起反感的
['eksə:pt] n. 摘录，选录，节录
[iks'tʃekə] n. 国库；财源
[eks'kɔdʒiteit] v. 认真想出
[iks'kru:ʃieit] v. 施酷刑，拷问，折磨
[ˌeksi'kreiʃən] n. 憎恨，厌恶
[eks'hju:m] v. 掘出，发掘
[eɡ'ziɡjuəs] a. 太少的，不足的
[eks'peiʃieit] v. 细说，详述
[eks'pætrieit] v. 驱逐出国；脱离国籍
[ˌekspi'eiʃən] n. 赎罪，补偿
['eksplikəbl] a. 可解释的
[eks'prəuprieit] v. 充公；没收
[iks'pʌlʃən] n. 驱逐，开除
['ekstrədait] v. 引渡回国，拿获归案
[eks'trinsik] a. 外来的，外在的，外部的
[eks'tru:d] v. 挤出，逐出；突出
[iɡ'zʌltənt] a. 非常高兴的，欢跃的
['fæbjuləs] a. 难以置信的；寓言里的
[fæk'simili] n. 复制本，摹本
[fæk'tiʃəs] a. 人为的，不真实的
[fæɡ] v. 苦干；n. 苦工
[feil'seif] n. 自动防故障装置
['feint'hɑ:tid] a. 懦弱的，无精神的；胆小的
[feik] v. 伪造；佯装
['fɔ:lsi,fai] v. 篡改；说谎
['fænfeə] n. 夸耀性游行；嘹亮的喇叭声
[fæn'teizjə] n. 幻想曲；组合乐曲
['færəu] v. (母猪)生产；n. 一窝小猪
['fæʃiə] n. 饰带；(商店上挂的)招牌
['fæsineit] v. 迷惑，迷住
['fi:əlti] n. 效忠
['fi:brail] a. 发烧的，热病的
['faisti] a. 活跃的；易怒的
[fi'lisiteit] v. 祝贺，庆祝
['fi:lain] a. 猫科的
['fensiŋ] n. 剑术，击剑法
[fə'rəuʃəs] a. 凶猛的，残暴的
['feri] n. 渡船，渡口；v. 运送
['festl] a. 节日的；欢乐的
['fi:tiʃ] n. (崇拜的)神物，偶像
[fi:nd] n. 恶魔；魔鬼
['filəmənt] n. 灯丝；细丝
[filtʃ] v. 偷(不贵重的东西)
['filjəl] a. 子女的
['filit] n. 束发带；鱼肉片
['fainəbl] a. 应罚款的
['fainəri:] n. 华丽优雅的服装或装饰
['faiəbrænd] n. 燃烧的木块；引起(社会或政治的)动乱的人
['fiʃəri] n. 渔场；渔业
['fisail] a. 易分裂的
['fitful] a. 一阵阵的；不安的
['flæbi] a. (肌肉)松软的；意志薄弱的
['flædʒeleit] v. 鞭打，鞭笞
[fleə] n. 天赋，本领，才华
['flænl] n. 法兰绒(一种布)
['faiəbrænd] n. 肠胃气胀
['fleivəriŋ] n. 香料，调味品
[flei] v. 剥皮；诈取；严厉指责
[flek] n. 斑点；微粒
[fli:s] n. 生羊皮，羊毛；v. 骗取
[fli:t] a. 快速的；v. 消磨；掠过
[flik] v./n. 轻打，轻弹
['flikə] v. 闪烁，摇曳
['flɔpi] a. 松软的；衰弱的
[flɔ:'resns] n. 繁花时期
[flʌŋk] v. 考试不及格
['fɔdə] n. 草料
['fɔnd(ə)l] v. 抚弄，抚摸
['futhəuld] n. 立足点，根据地
['fu:tl] v. 胡闹；浪费(时间)
[fɔp] n. (喜好精致服装的)花花公子
['fɔrei] n./v. 突袭，偷袭
['fɔ:beə] n. 祖宗，祖先
[fɔ:'kləuz] v. 排除；取消抵押品的赎回权
[fə'rensik] a. 法庭的，辩论的
['fɔ:wə:d] n. 前言，序
['fɔ:fitʃə] n. (名誉等)丧失
[fə'lɔ:n] a. 孤独的；凄凉的
['fɔ:mətiv] a. 形成的，影响发展的
[fɔ:'sweə] v. 誓绝，放弃
[fɔ:t] n. 要塞，城堡
['frækʃənl] a. 微小的，极小的
[frə'tə:nl] a. 兄弟的；友善的
[frə'tə:niti] n. 同类人；友爱
[frei] n. 吵架，打斗；v. 磨破
[fri:k] n. 怪物，奇事；a. 反常的
['fretwə:k] n. 格子细工(在木头上雕出各种图案，格子的工艺)
[frisk] v./n. 欢跃；娱乐
['fritə] v. (在无意义上的小事上)愚蠢地浪费；切碎
['frɔlik] v./n. 嬉戏；雀跃
['frɔliksəm] a. 快活的，欢乐的
['frauzi] a. 不整洁的，污秽的
['frʌktifai] v. 结果实；成功
[fju(:)'niəriəl] a. 适于葬礼的；忧郁的
['fə:biʃ] v. 磨光，刷新
['fjuəri] n. 狂怒，狂暴，激烈；狂怒的人
['fʌstiən] n. 空洞的话，无意义的高调
[ɡæb] n. 饶舌，爱说话；v. 空谈，瞎扯；闲逛，游荡
['ɡæbl] v. 急促而不清楚地说
['ɡeiəti] n. 欢乐，快活
[ɡeil] n. 狂风
['ɡæləp] v./n. (马)飞奔；疾驰
['ɡæləuz] n. 绞刑架，绞台
['ɡæmət] n. 全音阶；(一领域的)全部知识
['ɡændə] n. 雄鹅；笨人；v. 闲逛
['ɡæŋɡliŋ] a. 瘦长得难看的
[ɡæŋli] a. 身材瘦长的
['gæŋ,gri:n] n. 坏疽
['ɡɑ:lənd] n. (作为胜利标志的)花环，奖品
['ɡærit] n. 阁楼，顶楼小室
['ɡæstrik] a. 胃的，胃部的
[ɡæs'traitis] n. 胃炎
[ɡæs'trɔnəmi] n. 美食法
[ɡəuʃ] a. 笨拙的，不会社交的
[ɡɔ:nt] a. 憔悴的，瘦削的
['dʒenju(:)flekt] v. 曲膝半跪(以示敬意)；屈从
['dʒesteit] v. 怀孕，孕育
[dʒes'tikjuleit] v. 做手势表达
['ɡɑ:stli] a. 可怕的，惊人的，惨白的
['ɡə:dl] n. 腰带；转绕物；v. 环绕
['ɡlæmərəs] a. 迷人的，富有魅力的
[ɡli:m] n. 亮光，闪光；v. 发闪光
[ɡli:] n. 欢喜，高兴
[ɡlimps] n./v. 瞥见，看一眼
['ɡlitə] v. 闪烁，闪耀；n. 灿烂的光华；诱惑力，魅力
['ɡləumiŋ] n. 黄昏，薄暮
['ɡlɔ:rifai] v. 吹捧，美化
[glɔ:s'əuvə] v. 潦草地或敷衍地处理某事
[næt] n. 对小事斤斤计较，琐事
['nɔ:iŋ] a. 痛苦的，折磨人的
[nəum] n. 地下宝藏的守护神，地精；格言
['nəumik] a. 格言的，精辟的
['ɡɔɡl] n. 护目镜；v. 睁眼看
['ɡɔ:dʒəs] a. 美丽的；极好的
['ɡɔ:məndaiz] v. 拼命吃，贪吃
['ɡɔzliŋ] n. 小鹅；年轻无知的人
['ɡʌvənəns] n. 统治，支配
['ɡrænəri] n. 谷仓，粮仓
['ɡrænju:l] n. 小粒，微粒
['ɡreitis] a. 不付款的，免费的
['ɡri:nhɔ:n] n. 初学者；容易受骗的人
['grid,aiən] n. 烤架；橄榄球场
[ɡrəu'tesk] a. 怪诞的，古怪的
[ɡraul] v. (动物)咆哮，吼叫
[ɡrʌdʒ] v. 吝啬；不满
['ɡru:səm] a. 令人毛骨悚然的，恶心的
[ɡrʌf] a. (指人、声音)粗野的
['ɡrʌmpi] a. 脾气暴躁的
[ɡʌlʃ] n. 深谷，峡谷
[ɡʌl] n. 海鸥；易上当的人；v. 欺骗
['ɡʌstəu] n. 爱好；兴致勃勃
['ɡʌtlis] a. 没有勇气的，懦怯的
['ɡʌtl] v. 狼吞虎咽
[,dʒaini'kɔkrəsi] n. 妇女当政
['hæbitəbl] a. 可居住的
[hɑ:ft] n. 柄，把柄
['hæɡəd] a. 憔悴的，消瘦的
['hæɡl] v. 讨价还价
['hæmstriŋ] v. 切断腿筋使成跛腿，使残废
[hɑ:d'bitən] a. 不屈的，顽强的
['hɑ:dihud] n. 大胆，鲁莽
['hæsl] n. 激烈的辩论
['hætʃit] n. 短柄小斧
['hɔ:kə] n. 沿街叫卖之小贩
['hɔ:zə] n. 粗绳，大钢索
['hiəsei] n. 谣传，道听途说
[hi:v] v. 用力举
['hedʒhɔɡ] n. 刺猬
[hi:'dɔnik] a. 享乐的；n. 享乐主义学说
['hi:dənizəm] n. 享乐主义；享乐
['heljətrəup] n. 向阳植物
[helm] n. 舵，驾驶盘
['helət] n. 奴隶；受人轻视之人
[helv] n. 斧柄
['henpekt] a. 顺从妻子的，惧内的
[,hepə'taitis] n. 肝炎
['herəld] n. 传令官；预示，先驱
['hə:dzmən] n. 牧人
['heidei] n. 全盛时期，青春期
[hilt] n. (剑或刀之)柄
['hintəlænd] n. 内地；穷乡僻壤
[,hipə'pɔtəməs] n. 河马
[hɔ:s] a. 嘶哑的，粗哑的
['hɔbl] v. 蹒跚；跛行
['hɔləkɔ:st] n. 大屠杀，浩劫
['hɔləuɡrɑ:f] n. 亲笔信
['həumli] a. 朴素的；不漂亮的
['hɔmili] n. 说教，训诫
['hɔməuɡrɑ:f] n. 同形异义字
[hə'ɔɔlədʒi] n. 测时法；钟表制造术
[hɔ'rendəs] a. 可怕的，令人恐惧的
['haulə] n. 嚎叫的人或动物；滑稽可笑的错误
['hʌbʌb] n. 嘈杂，喧哗
['hʌdl] v. 挤成一堆n. 一堆人(杂物)
[hʌŋk] n. 大块(食物)
[hʌt] n. 简陋的房子，棚
['haidʒi:n] n. 卫生学；卫生
[,haipəu'də:mik] a. 皮下注射的
['aisiŋ] n. 糖衣，糖霜
['aidl] n. 神像；偶像
[ai'dɔlətraiz] v. 奉为偶像，盲目崇拜
['aidəlaiz] v. 将„当作偶像崇拜；极度喜爱或仰慕
[i'ledʒəbl] a. 难读的，难认的
[i'libərəl] a. 气量狭窄的
[i'lʌstriəs] a. 著名的，显赫的
['imbisail] n. 心智能力极低的人
[i'mɔ:tl] a. 不朽的，流芳百世的
[im'pend] v. 进行威胁；即将发生
[im'peril] v. 使陷于危险中，危及
[impri'keiʃ(ə)n] n. 祈求，诅咒
[,impju(:)'teiʃən] n. 归咎，归罪
[im'pju:t] v. 归咎于
[in'sə:titju:d] n. 疑惑，不确定
[in'saizə] n. 门牙
[in'kɔŋɡruənt] a. 不协调的，不和谐的，不合适的
[,inkɔ:'pɔ:riəl] a. 无实体的，非物质的，灵魂的
[,inkrʌs'teiʃən] n. 硬壳，外层
[in'dait] v. 写，赋(诗文)
[i'ni:brieit] v. 使„醉n. 酒鬼，酒徒
[,ini'feisəbl] a. 抹不掉的
[in'elidʒəbl] a. 没有资格的
[,iniks'pi:diənt] a. 不适当的，不明智的
[in'ekspiəbl] a. 不能补偿的
[in'fætjueit] v. 使迷恋；使糊涂
[in'fætjueitid] a. 迷恋(人)的
[in'fə:nl] a. 地狱的；可恶的
[in'flikʃən] n. (强加于人身的)痛苦，刑罚
[in'fɔ:mə] n. 告发者，告密者
['inɡres] n. 进入
[in'sein] a. 疯狂的
[in'sæniti] n. 疯狂；愚昧
[in'skripʃən] n. 铭刻；题字
['insəuleit] v. 使曝晒
[in'su:sjəns] n. 漠不关心，漫不经心
[in'stɔ:lmənt] n. 分期付款；安装
[in'sju:pərəbl] a. 难以克服的
[,intə(:)'disiplinəri] a. 跨学科的
[,intə(:)'leis] v. 编织；交错
[,intə(:)'lɔkjutə] n. 对话者，谈话者
[,intə(:)'ləup] v. (为图私利)干涉他人之事；闯入
['intələupə(r)] n. 闯入者
[in'tə:stis] n. 细裂缝，空隙
[,intə(:)'wi:v] v. 交织，编结
[in'testeit] a. 未留遗嘱的
[in'testin] n. 肠；a. 内部的
[ˌintu:'mesəns] n. 肿大，肿胀
[in'vestitʃə] n. (宗教)任职仪式，授权仪式
[in'vidʒileit] v. 监考
['invɔis] n. 发票，发货清单；v. 给开发票
[,iri'desəns] n. 彩虹色
[i'reidieit] v. 使明亮，生辉
['itəreit] v. 重做，反复重申
['dʒæmbə'ri:] n. 快乐、喧闹的集会
(at) [dʒeip] v. 开玩笑或讽刺
['dʒestiŋ] a. 滑稽的；爱开玩笑的
['dʒitəs] v. 紧张不安
['dʒɔli] a. 欢乐的，快乐的
['dʒu:bilənt] a. 喜悦的，欢呼的
['dʒʌŋktʃə] n. 危机关头；结合处
[,dʒuəris'pru:dəns] n. 法律学，法学
[kə,laidə'skɔpik] a. 千变万化的
['ki:ɔsk] n. 售货亭；电话亭
[nəul] n. 小山；小圆丘
[,læsə'reiʃən] n. 撕裂；裂口
['læki] n. 卑躬屈膝者，走卒
['læɡəd] a. 缓慢的；落后的；n. 落后者
['læməntəbl] a. 令人惋惜的，悔恨的
['læmineit] v. 切成薄板(片)
['læpidəri] n. 宝石工，宝石专家
[lætʃ] n. 门闩；v. 用门闩闩牢
['leimən] n. 普通信徒(有别于神职人员)；门外汉
['leiəuvə] n. 旅途中的短暂停留
[li:n] v. 倾斜；斜靠；a. 瘦骨嶙峋的
